date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:16	440/440	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/exposure.png	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/exposure.png	(from http://mikekus.com/assets/css/png.min.css)
11:00:17	545/545	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/exposure-red.png	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/exposure-red.png	(from http://mikekus.com/assets/css/png.min.css)
11:00:17	434/434	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/dribbble.png	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/dribbble.png	(from http://mikekus.com/assets/css/png.min.css)
11:00:18	530/530	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/dribbble-red.png	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/dribbble-red.png	(from http://mikekus.com/assets/css/png.min.css)
11:00:19	463/463	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/dribbble-white.png	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/dribbble-white.png	(from http://mikekus.com/assets/css/png.min.css)
11:00:20	5195/5195	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2257ebfeed-144b%22	http://mikekus.com/assets/img/instagram-white.png	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/instagram-white.45.delayed	(from http://mikekus.com/assets/css/png.min.css)
11:00:20	338326/338326	---M--	200	added ('OK')	image/jpeg	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/portfolio/in-everyone/bgrnd.jpg	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/portfolio/in-everyone/bgrnd.jpg	(from http://mikekus.com/assets/css/app.min.css)
11:00:21	330/330	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2017:33:34%20GMT	http://mikekus.com/assets/img/twitter-white.png	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/twitter-white.png	(from http://mikekus.com/assets/css/png.min.css)
11:00:21	502/502	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/exposure-white.png	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/exposure-white.png	(from http://mikekus.com/assets/css/png.min.css)
11:00:22	83/83	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/hamburger.png	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/hamburger.png	(from http://mikekus.com/assets/css/png.min.css)
11:00:23	91/91	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/hamburger-red.png	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/hamburger-red.png	(from http://mikekus.com/assets/css/png.min.css)
11:00:24	88/88	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/hamburger-white.png	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/hamburger-white.png	(from http://mikekus.com/assets/css/png.min.css)
11:00:24	225/225	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/cross.png	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/cross.png	(from http://mikekus.com/assets/css/png.min.css)
11:00:25	231/231	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Sep%202016%2017:33:33%20GMT	http://mikekus.com/assets/img/cross-red.png	C:/My%20Web%20Sites/Portfolio/mikekus.com/assets/img/cross-red.png	(from http://mikekus.com/assets/css/png.min.css)
